participant_id,parameter,posterior_mean,hdi_low,hdi_high
P018,omega_3,-5.9987344540882575,-6.265309732473853,-5.738060455073928
P019,omega_3,-5.998425203777336,-6.290372677167852,-5.68737034324217
P020,omega_3,-5.995096174463416,-6.259517811889227,-5.7045180069835775
P021,omega_3,-5.994530343155847,-6.290185558550845,-5.724046493724212
P022,omega_3,-5.9944017828416705,-6.277092512829999,-5.723358049828045
P023,omega_3,-5.994992826506657,-6.246039565611085,-5.721367454075879
P024,omega_3,-6.003130576797885,-6.31579359772679,-5.681145025439803
P025,omega_3,-6.001189235887527,-6.281879598293256,-5.748524226313038
P026,omega_3,-6.000301475608914,-6.259719998474404,-5.724491258322078
P027,omega_3,-5.996551076300021,-6.258389461807702,-5.687598439280609
P028,omega_3,-5.995939469074617,-6.270009284039671,-5.720954063100932
P029,omega_3,-6.009053568330767,-6.283096992077921,-5.717054378018074
P030,omega_3,-6.005544638224904,-6.2696770257368595,-5.72219789061519
P031,omega_3,-6.00591848886039,-6.32414935741553,-5.741174423204612
P032,omega_3,-6.007265288356918,-6.277774891871435,-5.702644610803239
P033,omega_3,-6.002712221455609,-6.267642809476788,-5.739762578107185
P034,omega_3,-6.001987434405106,-6.267238508838542,-5.732396008076063
P035,omega_3,-6.004174169788487,-6.262401636783709,-5.748295890237883
P036,omega_3,-6.008801644972321,-6.241302518105081,-5.70289206715045
P037,omega_3,-5.987541927644304,-6.222751639198345,-5.6927393651142015
P038,omega_3,-5.991717091297761,-6.266046925966188,-5.727677479917685
P039,omega_3,-6.002388267471994,-6.284560145010634,-5.736275612461836
P040,omega_3,-6.000869858172645,-6.298228105178131,-5.751042268228309
P041,omega_3,-6.007107700096326,-6.285346217117497,-5.694949752440945
P042,omega_3,-6.007948028260648,-6.317417627493211,-5.712423301080284
P043,omega_3,-6.006844157043271,-6.36578746240321,-5.651401263572119
P044,omega_3,-5.995782410725812,-6.2913535911555165,-5.672630235031361
P045,omega_3,-6.010229323399686,-6.314410608381454,-5.72440292230805
P046,omega_3,-6.000990593297397,-6.318706574650346,-5.722702446661788
P047,omega_3,-6.006425930093186,-6.286225220215809,-5.707802954890717
P048,omega_3,-5.999830611900494,-6.312022089774762,-5.721137354005238
P049,omega_3,-6.001407967961263,-6.327546927157048,-5.678663076653372
P050,omega_3,-6.0056422351386365,-6.299076412563848,-5.707731398353919
P051,omega_3,-6.001008747045089,-6.265912087235246,-5.659647586619249
P052,omega_3,-5.993190246283698,-6.345330393989076,-5.68682932627161
P053,omega_3,-6.002448587544429,-6.3684798949526575,-5.669638535339709
P054,omega_3,-6.007628370813944,-6.334667714118724,-5.721118257888412
P055,omega_3,-6.006093972118546,-6.321682092908487,-5.687204687887054
P056,omega_3,-6.033357339982228,-6.329895783082955,-5.732742307095264
P057,omega_3,-5.995662981939271,-6.298169707174872,-5.6651126434739325
P058,omega_3,-6.003496628496707,-6.299318861192191,-5.710508185340879
P059,omega_3,-6.008805671038325,-6.339802804554726,-5.649812854231001
P060,omega_3,-5.983677036884011,-6.349027100018583,-5.666945344627295
P061,omega_3,-6.000053834384922,-6.3039138747971855,-5.718343511245101
P062,omega_3,-6.003782722602368,-6.298845396165222,-5.7012781232686525
P063,omega_3,-6.003519924926175,-6.291992589257102,-5.72712137561001
P064,omega_3,-6.005352453822193,-6.287605772287979,-5.730969205007327
P065,omega_3,-6.004405575249228,-6.282785420017443,-5.696750686640412
P066,omega_3,-5.990026634547545,-6.325134539458797,-5.674397128582678
P067,omega_3,-6.010523967653579,-6.342005653775362,-5.70348599051438
P068,omega_3,-6.004993440910151,-6.316455004029858,-5.6939740518972295
P069,omega_3,-6.014961990283546,-6.295534554879037,-5.7195248442087365
P070,omega_3,-6.002376098513502,-6.295789410392487,-5.742219743201088
P071,omega_3,-6.008141087839212,-6.318546674062635,-5.742693953608895
P072,omega_3,-6.006177611113772,-6.337836334151249,-5.774120880703012
P073,omega_3,-5.988191294528154,-6.346904490615266,-5.595683465551657
P074,omega_3,-6.010269262335716,-6.334378858387205,-5.663229470018156
P075,omega_3,-6.0021572248822155,-6.291833001071422,-5.681292632079415
P076,omega_3,-6.013418235728362,-6.302411558623362,-5.697191156771456
P077,omega_3,-6.024029961449863,-6.2513031640745425,-5.809822432969231
P078,omega_3,-6.008753021477934,-6.304097711901243,-5.682796585353502
P079,omega_3,-6.000735687588911,-6.3476653927107565,-5.698604397306846
P080,omega_3,60.23186942781364,-4046.4293702583177,4322.484603567772
P081,omega_3,-6.000830069842392,-6.371527089816214,-5.651607512866787
P082,omega_3,-6.005772041621076,-6.291389189536789,-5.727021132560537
P083,omega_3,-5.997342744931561,-6.268758755310264,-5.74313510469045
P084,omega_3,-10.024448838516777,-2639.9987213427426,2215.377780554533
P085,omega_3,66.0560558365752,-7079.09867421523,8570.036214393418
P086,omega_3,-5.513589081133677,-1752.7537343782185,1632.2515573214773
P087,omega_3,-5.994634420940779,-6.232270793202225,-5.741298124113918
P088,omega_3,-6.053889597801125,-8.013572191452973,-3.960745377165279
P089,omega_3,-6.001428916947686,-6.276951189614175,-5.664013091784659
P090,omega_3,-2.937516747561575,-242.45562125339612,260.5494418286498
P091,omega_3,-5.4488123312358,-33.29621286497657,21.951859352659994
P092,omega_3,-6.753246143812263,-126.42821561317513,115.0179067879401
P093,omega_3,-5.9938690797121685,-6.502046256614763,-5.483713846245666
P094,omega_3,-6.064613617673303,-7.694104611568047,-4.219390601779239
P095,omega_3,-5.982910717774958,-6.257225378918077,-5.678135381279798
P096,omega_3,14.352018251688307,-1701.3483093778755,1822.0848318737985
P097,omega_3,-46.27888314644681,-2085.304063201279,2051.9632501509395
P098,omega_3,-6.015339748744089,-6.326207864984819,-5.725119597605121
P099,omega_3,-6.010225588658953,-6.288236175268888,-5.750394366695735
P100,omega_3,-6.011742112434975,-6.309303142485231,-5.720477854456334
P101,omega_3,-5.118557872920134,-107.95539544914048,105.5808523654053
P102,omega_3,-6.017049914385855,-6.260577332821003,-5.719981961828975
P103,omega_3,64.54560780410439,-10184.618234679996,9589.86944383
P104,omega_3,-22.020406937484168,-3474.778549725065,3089.9965532997776
P105,omega_3,-6.01361814615594,-6.2915894717636265,-5.750240128287145
P106,omega_3,-6.0215174636219,-6.296159498875276,-5.783256537267922
P107,omega_3,-9.24622636620132,-1400.6547443401853,1286.3679657658836
P108,omega_3,-6.001393461332301,-6.4868546233292586,-5.549016893573129
P109,omega_3,-5.994574577293596,-6.1948163888079595,-5.771520791390475
P110,omega_3,-18.148573265717452,-2336.9137042966577,2369.5175496824822
P111,omega_3,-7.548833705376058,-155.65642031448573,125.99966081080399
P112,omega_3,-6.022814554379955,-6.3112196960204185,-5.766025569293263
P113,omega_3,-6.003100071171737,-6.374932786136686,-5.647938473462913
P114,omega_3,-124.30811438949972,-3675.3156017088013,4361.1054641267765
P115,omega_3,177.2338656864843,-4900.883882752499,5289.578609575646
P116,omega_3,-254.39572925118802,-11661.331195053916,10303.71804149331
