regime,param_vector_id,omega_2,omega_3,kappa,beta,zeta,lambda_hat_qr,lambda_hat_gmsr,max_singular_value,num_trials_sigma_gt_1
round_robin,79,-2.9162345652580974,-6.504588104225946,1.0,1.4302670098702022,0.37585810325949187,-0.014537690288854122,0.0003384883690033515,1.69823533585767,354
round_robin,80,-5.819340626643349,-4.0882157264212715,1.0,1.9315243078768858,0.09286871584846912,-0.012096491748508955,0.00017954649928839014,1.0577805512778204,303
round_robin,81,-5.1527412570876585,-6.6650509907013635,1.0,2.7697810316987033,0.1190550035147282,-0.01602374826634497,0.00016251262641367055,1.0528438268107252,333
round_robin,82,-4.181178840156882,-5.530073322441348,1.0,3.255031270875793,0.6631844586942066,-0.013906144244425565,-0.00013095545189154627,1.038780749846626,331
round_robin,83,-3.75582183591206,-3.3967906463647566,1.0,1.3275648008297072,-0.06649289773331546,-0.011781141433832604,-0.0008743995684602178,1.0563721280815563,325
round_robin,84,-4.415243823953469,-2.621625106948997,1.0,2.8227787422014483,0.01639704014010679,-0.010640022611678098,-0.0015197198016184607,1.0560730604823476,296
round_robin,85,-4.441798310097802,-4.522964033612572,1.0,1.7080305697397744,0.5688541172912471,-0.012842151627765473,-0.0004523765583785959,1.0434613831099204,310
round_robin,86,-2.2917574914679064,-4.680758669371663,1.0,1.917518997469445,-0.49761152520391305,-0.012863047523622446,-0.0004806200723624114,1.546005759687125,340
round_robin,87,-3.926539705462415,-7.3029893009876234,1.0,1.68922179921053,0.5690040677966552,-0.012004969313603255,0.00020957649913016182,1.0798404982399123,340
round_robin,88,-3.348335173426918,-4.398465127416964,1.0,1.5616608801750655,0.7670421239443064,-0.012498495777465793,-0.0004612980740111432,1.172294963529834,337
round_robin,89,-2.105931671829198,-6.677090304371057,1.0,2.656980039827796,-0.8818990153924309,-0.012829819058255032,0.0009097590200287895,1.4774840556622901,375
round_robin,90,-4.41344340312164,-5.958937173259566,1.0,1.925085072481775,0.6775866023921884,-0.01530941973641161,-0.00024978945502931603,1.0429827990153628,295
round_robin,91,-4.797835592841792,-5.542957191147912,1.0,2.8127682946483996,0.5616170236951656,-0.019452328835872897,-0.00016789723537944878,1.0487890402211255,300
round_robin,92,-4.947186807216832,-5.451367583480407,1.0,3.5360878984249733,0.5275437824701033,-0.014074771207495486,3.757894719115436e-05,1.0506394076234349,321
round_robin,93,-2.214055243566633,-5.582833404689525,1.0,3.4828465244892266,-0.6640817842324152,-0.013247733085777133,0.0005682630623917724,2.1142942892579137,374
round_robin,94,-5.2220117941347395,-6.66464897365933,1.0,1.2031956634265908,0.9071990158834036,-0.015495806133017575,0.00013602425359940357,1.053504077176832,331
round_robin,95,-5.866589899754434,-7.624222343758399,1.0,2.7225806593846187,-0.5851632634487962,-0.01420895284974043,0.00020970387208974462,1.058028971783517,289
